date,PX_LAST,PX_MID,PX_BID,PX_ASK,PX_DIRTY_MID,INT_ACC,YLD_YTM_MID,YLD_YTM_BID,YLD_YTM_ASK,DUR_ADJ_MID,DUR_ADJ_OAS_MID,CONVEXITY,OAS_SPREAD_MID,Z_SPRD_MID,country,isin,security_des,MOD_DUR_CALC,CONVEXITY_CALC,MAC_DUR_CALC,PV_DIRTY_CALC
2019-10-18,43.151,43.151,42.88,43.421,45.102,,21.18,21.306,21.055,,,,,1954.28,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.801482087355918,34.04574501983601,5.30995904040691,44.98838613131513
2019-10-21,41.991,41.991,41.586,42.395,43.96,,21.73,21.926,21.537,,,,,2004.947,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.733744212944293,33.350801769885834,5.24806552168069,43.89746535135912
2019-10-22,41.028,41.028,40.724,41.333,43.015,,22.205,22.357,22.054,,,,,2054.93,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.679402664613493,32.79586649562799,5.198933345452206,42.95147898996258
2019-10-23,41.851,41.851,41.463,42.239,43.857,,21.804,21.993,21.618,,,,,2016.395,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.720711733946302,33.2189430784618,5.235363727181127,43.793693448096136
2019-10-24,42.568,42.568,42.221,42.915,44.629,,21.471,21.636,21.308,,,,,1983.196,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.754696537425442,33.56821542549807,5.265136984200751,44.5151173729861
2019-10-25,41.758,41.758,41.609,41.907,43.838,,21.863,21.935,21.79,,,,,2019.742,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.709326187859467,33.10419077970689,5.224126180085325,43.72161633772623
2019-10-28,39.23,39.23,38.75,39.71,41.328,,23.15,23.407,22.897,,,,,2145.268,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.562109661319822,31.613446910510653,5.090173854617592,41.26169023570859
2019-10-29,39.95,39.95,39.563,40.337,42.048,,22.772,22.974,22.573,,,,,2107.24,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.600550168925353,32.00250097386977,5.124368811159194,42.007448704920336
2019-10-30,39.592,39.592,39.259,39.925,41.708,,22.962,23.138,22.789,,,,,2132.32,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.577521003212215,31.77116940312231,5.1030661895910105,41.66746376120677
2019-10-31,39.263,39.263,38.989,39.538,41.435,,23.147,23.293,23.001,,,,,2159.427,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.555072122017312,31.54629286662913,5.082253394058985,41.34164428786544
